Source,Target
AAPL,James Bell_67
AAPL,Robert Iger_65
AAPL,Andrea Jung_57
AAPL,Ronald Sugar_67
AMAT,Judy Bruner_58
AMAT,Dennis Powell_68
ADM,Juan Luciano_54
ADM,Ray Young_54
ADM,Donald Felsinger_68
ADM,Alan Boeckmann_67
ADM,Terrel Crews_60
ARNC,Klaus Kleinfeld_58
ARNC,Patricia Russo_64
ARNC,Arthur Collins_68
ARNC,Sean Mahoney_53
ARNC,John Plant_62
ARNC,Leo Reif_65
AJG,Sherry Barrat_66
AJG,Ralph Nicoletti_58
AIZ,Alan Colberg_54
AIZ,Charles Koch_69
T,Randall Stephenson_55
T,John Stankey_53
T,Samuel Di Piazza_65
T,Glenn Hutchins_60
T,William Kennard_59
T,Michael McCallister_63
T,Beth Mooney_61
T,Joyce Roche_69
T,Matthew Rose_56
T,Laura Tyson_68
T,Geoff Yang_
ADSK,Carl Bass_58
ADSK,Richard Hill_64
ADSK,Lorrie Norrington_56
ADSK,Steven West_60
ADP,William Ready_36
ADP,Sandra Wijnberg_59
ADP,Richard Clark_69
ADP,Eric Fast_66
ADP,Linda Gooden_63
ADP,Michael Gregoire_50
ADP,Robert Hubbard_57
AN,Michael Larson_56
AN,Tomago Collins_44
AN,David Edelson_56
AZO,William Rhodes_50
AZO,Douglas Brooks_63
AZO,Linda Goodspeed_54
AZO,George Mrkonic_64
AZO,Luis Nieto_60
AVB,Timothy Naughton_54
AVB,Alan Buckelew_67
AVB,Ronald Havner_58
AVB,H. Jay Sarles_70
AVB,W. Edward Walter_60
AVY,Dean Scarborough_60
AVY,Bradley Alford_59
AVY,Anthony Anderson_60
AVY,Peter Barker_67
AVY,Patrick Siewert_60
BHI,Richard Williams_50
BHI,Gregory Brenneman_54
BHI,Clarence Cazalot_65
BHI,William Easter_66
BHI,Lynn Elsenhans_59
BLL,Theodore Solso_69
BLL,R. David Hoover_70
BLL,Michael Cave_55
BLL,Georgia Nelson_66
BLL,George Smart_70
BAC,Sharon Allen_64
BAC,Arnold Donald_61
BAC,Charles Gifford_73
BAC,Linda Hudson_65
BAC,Monica Lozano_59
BAC,Thomas May_68
BAC,Lionel Nowell_61
BAC,Robert Yost_68
BK,Gerald Hassell_64
BK,Nicholas Donofrio_70
BK,Joseph Echevarria_59
BK,Edward Garden_54
BK,John Luke_67
BK,Samuel Scott_71
BK,Jane Mendillo_57
BCR,Timothy Ring_58
BCR,Robert Davis_49
BCR,Herbert Henkel_67
BCR,Tommy Thompson_74
BCR,Anthony Welters_61
BCR,Tony White_69
BAX,Peter Hellman_66
BAX,Thomas Chen_66
BAX,Michael Mahoney_51
BAX,Thomas Stallkamp_69
BAX,Albert Stroucken_68
BDX,William Kozy_63
BDX,Gary Cohen_56
BDX,Basil Anderson_70
BDX,R. Andrew Eckert_55
BDX,Marshall Larsen_67
BDX,Bertram Scott_65
BBBY,Geraldine Elliott_59
BBY,Hubert Joly_56
BBY,Karen McLoughlin_51
BIIB,George Scangos_68
BIIB,Adriana Karaboutis_53
BIIB,Nancy Leaming_68
BIIB,Lynn Schenk_71
BLK,William Demchak_53
BLK,Jessica Einhorn_68
BLK,Fabrizio Freda_58
BLK,Murry Gerber_63
HRB,Victoria Reich_58
BA,Dennis Muilenburg_52
BA,Kenneth Duberstein_71
BA,Robert Bradway_53
BA,Lynn Good_56
BA,Randall Stephenson_55
BA,David Calhoun_58
BA,Arthur Collins_68
BA,Edward Liddy_70
BA,Susan Schwab_61
BA,Ronald Williams_66
BWA,Alexis Michas_58
BWA,Vicki Sato_67
BWA,Ernest Novak_71
BWA,Thomas Stallkamp_69
BXP,Jacob Frenkel_73
BXP,Joel Klein_69
BXP,Matthew Lustig_55
