Source,Target
GD,Phebe Novakovic_58,1
GD,James Crown_62,1
GD,Mary Barra_54,1
GD,William Osborn_68,1
GD,Laura Schumacher_52,1
GE,Elizabeth Comstock_55,1
GE,Francisco D'Souza_47,1
GE,Andrea Jung_57,1
GE,Rochelle Lazarus_68,1
GE,Steven Mollenkopf_47,1
GE,James Mulva_69,1
GE,James Rohr_67,1
GE,James Tisch_63,1
GGP,David Neithercut_60,1
GGP,Mark Patterson_55,1
GIS,Kendall Powell_62,1
GIS,Bradbury Anderson_67,1
GIS,R. Kerry Clark_64,1
GIS,David Cordani_50,1
GIS,Roger Ferguson_64,1
GIS,Henrietta Fore_67,1
GIS,Maria Henry_50,1
GIS,Robert Ryan_73,1
GIS,Eric Sprunk_52,1
GM,Mary Barra_54,1
GM,Daniel Ammann_44,1
GM,Theodore Solso_69,1
GM,Linda Gooden_63,1
GM,Kathryn Marinello_59,1
GM,Jane Mendillo_57,1
GM,James Mulva_69,1
GM,Patricia Russo_64,1
GM,Thomas Schoewe_63,1
GPC,Gary Fayard_64,1
GPC,John Johns_64,1
GPC,E. Jenner Wood_64,1
GILD,Robin Washington_53,1
GILD,Martin Silverstein_48,1
GPN,Ruth Marshall_61,1
GPN,John Partridge_66,1
GS,M. Michele Burns_58,1
GT,Richard Kramer_52,1
GT,W. Alan McCollough_66,1
GT,James Firestone_61,1
GT,Werner Geissler_62,1
GT,Peter Hellman_66,1
GT,Laurette Koellner_61,1
GT,Roderick Palmore_64,1
GT,Stephanie Streeter_58,1
GT,Thomas Weidemeyer_68,1
GWW,Stuart Levenick_63,1
GWW,Rodney Adkins_57,1
GWW,Brian Anderson_65,1
GWW,Neil Novich_61,1
GWW,Michael Roberts_65,1
GWW,Ernest Santi_54,1
HAL,J. Landis Martin_70,1
HAL,Alan Bennett_65,1
HAL,Milton Carroll_65,1
HAL,Nance Dicciani_68,1
HAL,Murry Gerber_63,1
HAL,Debra Reed_59,1
HBI,Bobby Griffin_67,1
HBI,James Johnson_63,1
HBI,Franck Moison_62,1
HBI,Andrew Schindler_71,1
HOG,Michael Cave_55,1
HOG,Matthew Levatich_51,1
HOG,Brian Niccol_41,1
HOG,Sara Levinson_65,1
HOG,Norman Linebarger_53,1
HOG,George Miles_74,1
HAR,Dinesh Paliwal_58,1
HAR,Ann Korologos_74,1
HAR,Frank Sklarsky_59,1
HRS,Lewis Hay_60,1
HRS,Karen Katen_67,1
HRS,David Rickard_69,1
HRS,Hansel Tookes_68,1
HIG,Michael Morris_69,1
HIG,Thomas Renyi_70,1
HIG,Teresa Roseborough_57,1
HIG,Virginia Ruesterholz_54,1
HIG,Haywood Swygert_73,1
HAS,Brian Goldner_53,1
HAS,Basil Anderson_70,1
HAS,Alan Batkin_71,1
HAS,Alan Hassenfeld_67,1
HAS,Edward Philip_51,1
HCA,Nancy-Ann DeParle_59,1
HCA,Thomas Frist_48,1
HCA,Geoffrey Meyers_71,1
HCA,John Rowe_70,1
HCP,Michael McKee_70,1
HCP,Christine Garvey_70,1
HP,Hans Helmerich_57,1
HP,Edward Rust_65,1
HES,James Quigley_63,1
HES,Rodney Chase_72,1
HES,Leonard Coleman_67,1
HES,Fredric Reynolds_65,1
HPE,Margaret Whitman_59,1
HPE,Ann Livermore_57,1
HPE,Daniel Ammann_44,1
HPE,Marc Andreessen_44,1
HPE,Michael Angelakis_51,1
HPE,Leslie Brun_63,1
HPE,Pamela Carter_66,1
HPE,Klaus Kleinfeld_58,1
HPE,Gary Reiner_61,1
HPE,Patricia Russo_64,1
HPE,Mary Wilderotter_61,1
HOLX,Stephen MacMillan_52,1
HOLX,Elaine Ullian_68,1
HOLX,Nancy Leaming_68,1
HD,Carol Tome_59,1
HD,Teresa Roseborough_57,1
HD,Gregory Brenneman_54,1
HD,Jeffery Boyd_59,1
HD,Albert Carey_64,1
HD,Helena Foulkes_51,1
HD,Linda Gooden_63,1
HD,Karen Katen_67,1
HON,Roger Fradin_62,1
HON,D. Scott Davis_64,1
HON,Linnet Deily_70,1
HON,Grace Lieblein_55,1
HON,George Paz_60,1
HON,Bradley Sheares_59,1
HON,Robin Washington_53,1
HRL,Jeffrey Ettinger_57,1
HRL,Terrel Crews_60,1
HRL,Christopher Policinski_57,1
HST,W. Edward Walter_60,1
HST,Mary Baglivo_58,1
HST,Ann Korologos_74,1
HST,John Morse_69,1
HST,Walter Rakowich_58,1
HPQ,Carl Bass_58,1
HPQ,Mary Citrino_57,1
HPQ,Robert Bennett_58,1
HPQ,Stephanie Burns_61,1
HPQ,Rajiv Gupta_70,1
HPQ,Stacey Mobley_70,1
HPQ,James Skinner_71,1
HUM,Bruce Broussard_53,1
HUM,Frank D'Amelio_58,1
HUM,David Jones_58,1
HUM,James O'Brien_61,1
HBAN,Stephen Steinour_57,1
HBAN,John Inglis_,1
HBAN,Steven Elliott_69,1
ITW,Ernest Santi_54,1
ITW,Christopher O'Herlihy_52,1
ITW,Robert Morrison_74,1
ITW,Jay Henderson_60,1
ITW,Daniel Brutto_60,1
ITW,Susan Crown_57,1
ITW,Richard Lenny_64,1
ITW,James Skinner_71,1
ITW,David Smith_49,1
ITW,Anre Williams_50,1
IR,Michael Lamach_52,1
IR,Susan Carter_57,1
IR,Richard Swift_71,1
IR,Ann Berzin_63,1
IR,Elaine Chao_63,1
IR,Linda Hudson_65,1
IR,John Surma_61,1
IR,Tony White_69,1
INTC,Andrew Bryant_66,1
INTC,Brian Krzanich_55,1
INTC,Robert Swan_56,1
INTC,Charlene Barshefsky_65,1
INTC,John Donahoe_55,1
INTC,Frank Yeary_52,1
ICE,Frederic Salerno_72,1
ICE,Charles Crisp_68,1
ICE,Judith Sprieser_62,1
IBM,Colleen Arnold_58,1
IBM,Thomas Rosamilia_55,1
IBM,Kenneth Chenault_64,1
IBM,Michael Eskew_66,1
IBM,David Farr_61,1
IBM,Mark Fields_,1
IBM,Alex Gorsky_55,1
IBM,Shirley Jackson_69,1
IBM,Andrew Liveris_61,1
IBM,Walter McNerney_66,1
IBM,Hutham Olayan_62,1
IBM,James Owens_69,1
IBM,Joan Spero_71,1
IP,Thomas Kadien_59,1
IP,David Bronczek_61,1
IP,Ilene Gordon_62,1
IP,Jay Johnson_69,1
IP,Stacey Mobley_70,1
IP,Joan Spero_71,1
IP,J. Steven Whisler_61,1
IP,Ray Young_54,1
IPG,Michael Roth_70,1
IPG,Frank Mergenthaler_55,1
IPG,Jocelyn Carter-Miller_58,1
IPG,Dawn Hudson_58,1
IPG,Henry Miller_70,1
IPG,Jonathan Miller_59,1
IPG,Mary Steele Guilfoile_62,1
IPG,David Thomas_66,1
IFF,John Ferraro_60,1
IFF,Michael Ducker_62,1
IFF,Roger Ferguson_64,1
INTU,Brad Smith_52,1
INTU,Scott Cook_63,1
INTU,Suzanne Nora Johnson_58,1
INTU,Diane Greene_60,1
INTU,Dennis Powell_68,1
ISRG,Michael Friedman_72,1
IVZ,Phoebe Wood_62,1
JEC,Ralph Eberhart_69,1
JEC,Linda Levinson_74,1
JBHT,James Robo_53,1
SJM,Steven Oakland_55,1
SJM,Robert Heisler_67,1
SJM,Sandra Pianalto_61,1
JNJ,Alex Gorsky_55,1
JNJ,Anne Mulcahy_63,1
JNJ,D. Scott Davis_64,1
JNJ,William Perez_68,1
JNJ,Charles Prince_66,1
JNJ,Ronald Williams_66,1
JCI,George Oliver_56,1
JCI,Judith Reinsdorf_52,1
JCI,David Abney_60,1
JCI,Jeffrey Joerres_56,1
JCI,Robert Yost_68,1
JPM,Gordon Smith_57,1
JPM,James Bell_67,1
JPM,Crandall Bowles_68,1
JPM,Stephen Burke_57,1
JPM,James Crown_62,1
JPM,Timothy Flynn_59,1
JPM,William Weldon_67,1
JNPR,Scott Kriens_58,1
JNPR,Brian Martin_54,1
JNPR,Robert Calderoni_56,1
JNPR,Mercedes Johnson_62,1
KSU,Rodney Slater_61,1
K,John Bryant_50,1
K,Donald Knauss_65,1
K,Richard Dreiling_62,1
K,James Jenness_70,1
K,Stephanie Burns_61,1
K,Cynthia Milligan_70,1
K,Rogelio Rebolledo_71,1
K,Carolyn Tastad_54,1
K,Noel Wallace_51,1
KEY,Beth Mooney_61,1
KEY,Alexander Cutler_64,1
KEY,Austin Adams_72,1
KEY,Bruce Broussard_53,1
KEY,Joseph Carrabba_63,1
KEY,Barbara Snyder_60,1
KMB,Thomas Falk_58,1
KMB,Maria Henry_50,1
KMB,Anthony Palmer_56,1
KMB,Elane Stock_52,1
KMB,James Jenness_70,1
KMB,Michael White_63,1
KMB,John Bergstrom_69,1
KMB,Nancy Karch_68,1
KMB,Ian Read_62,1
KLAC,Edward Barnholt_72,1
KLAC,Richard Wallace_55,1
KLAC,Brian Martin_54,1
KLAC,Robert Calderoni_56,1
KLAC,Kevin Kennedy_60,1
KSS,Michelle Gass_48,1
KSS,Stephanie Streeter_58,1
KHC,John Cahill_58,1
KHC,Jeanne Jackson_64,1
KHC,John Pope_67,1
KR,William McMullen_55,1
KR,Robert Beyer_56,1
KR,Susan Kropf_67,1
KR,Jorge Montoya_69,1
KR,Ronald Sargent_60,1
LB,Stuart Burgdoerfer_53,1
LB,Donna James_58,1
LB,William Loomis_68,1
LB,Michael Morris_69,1
LB,Stephen Steinour_57,1
LLL,Ann Dunwoody_63,1
LLL,Lloyd Newton_73,1
LLL,Henry Shelton_74,1
LH,David King_59,1
LH,Richelle Parham_48,1
LH,Adam Schechter_51,1
LH,R. Sanders Williams_67,1
LRCX,Eric Brandt_53,1
LRCX,Michael Cannon_62,1
LM,Carol Davidson_60,1
LM,Kurt Schmoke_66,1
LEG,Phoebe Wood_62,1
LEN,Teri McClure_52,1
LEN,Armando Olivera_66,1
LVLT,James Ellis_68,1
LVLT,Kevin Chilton_61,1
LVLT,T. Michael Glenn_60,1
LUK,Robert Beyer_56,1
LLY,John Lechleiter_62,1
LLY,Derica Rice_51,1
LLY,Ellen Marram_69,1
LLY,Ralph Alvarez_60,1
LLY,Michael Eskew_66,1
LLY,R. David Hoover_70,1
LLY,Karen Horn_72,1
LLY,Juan Luciano_54,1
LLY,Jackson Tai_66,1
LNC,William Cunningham_72,1
LKQ,Blythe McGarvie_59,1
LKQ,John O'Brien_73,1
LMT,Marillyn Hewson_62,1
LMT,Bruce Tanner_56,1
LMT,Sondra Barbour_53,1
LMT,Rosalind Brewer_53,1
LMT,James Ellis_68,1
LMT,Thomas Falk_58,1
LMT,Ilene Gordon_62,1
LMT,Anne Stevens_68,1
L,James Tisch_63,1
L,David Edelson_56,1
L,Paul Fribourg_,1
L,Lawrence Bacow_64,1
L,Jacob Frenkel_73,1
L,Philip Laskawy_74,1
L,Anthony Welters_61,1
LOW,Robert Niblock_53,1
LOW,Marshall Larsen_67,1
LOW,Ralph Alvarez_60,1
LOW,Angela Braly_54,1
LOW,Sandra Cochran_57,1
LOW,Richard Dreiling_62,1
LOW,Bertram Scott_65,1
LOW,Eric Wiseman_60,1
LYB,Nance Dicciani_68,1
MAC,John Alschuler_68,1
M,Terry Lundgren_64,1
M,Karen Hoguet_59,1
M,Francis Blake_67,1
M,John Bryant_50,1
M,Sara Levinson_65,1
M,Joyce Roche_69,1
M,Paul Varga_52,1
M,Craig Weatherup_71,1
M,Marna Whittington_69,1
MRO,Dennis Reilley_63,1
MRO,Gaurdie Banister_58,1
MRO,Gregory Boyce_61,1
MRO,Chadwick Deaton_63,1
MRO,Marcela Donadio_61,1
MRO,Shirley Jackson_69,1
MRO,Philip Lader_70,1
MRO,Michael Phelps_68,1
MPC,Gary Heminger_62,1
MPC,Charles Bunch_66,1
MPC,Donna James_58,1
MPC,James Rohr_67,1
MPC,John Surma_61,1
MMC,Anthony Anderson_60,1
MMC,Bruce Nolop_65,1
MMC,Lloyd Yates_55,1
MMC,Robert Yost_68,1
MLM,Donald Slager_54,1
MAS,J. Michael Losh_69,1
MAS,John Sznewajs_48,1
MAS,Christopher O'Herlihy_52,1
MAS,Donald Parfet_64,1
MAS,Lisa Payne_57,1
MAS,John Plant_62,1
MAS,Reginald Turner_56,1
MA,Ajaypal Banga_56,1
MA,Martina Hund-Mejean_56,1
MA,Nancy Karch_68,1
MA,Jackson Tai_66,1
MAT,Michael Dolan_69,1
MAT,Trevor Edwards_53,1
MAT,Frances Fergusson_71,1
MAT,Ann Lewnes_54,1
MAT,Vasant Prabhu_56,1
MAT,Dean Scarborough_60,1
MKC,Alan Wilson_58,1
MKC,Freeman Hrabowski_65,1
MKC,Patricia Little_55,1
MKC,Maritza Montiel_64,1
MCD,Enrique Hernandez_60,1
MCD,Gloria Santona_65,1
MCD,Robert Eckert_61,1
MCD,Jeanne Jackson_64,1
MCD,Richard Lenny_64,1
MCD,John Rogers_58,1
MCD,Miles White_61,1
MCK,Andrew Bryant_66,1
MCK,Donald Knauss_65,1
MJN,Kimberly Casiano_58,1
MJN,Anna Catalano_56,1
MJN,Michael Grobstein_73,1
MJN,Robert Singer_64,1
MDT,Craig Arnold_55,1
MDT,Scott Donnelly_54,1
MDT,Randall Hogan_59,1
MDT,Shirley Jackson_69,1
MDT,Michael Leavitt_65,1
MDT,Denise O'Leary_58,1
MDT,Kendall Powell_62,1
MDT,Robert Pozen_70,1
MRK,Kenneth Frazier_61,1
MRK,Robert Davis_49,1
MRK,Mirian Graddick-Weir_61,1
MRK,Adam Schechter_51,1
MRK,Leslie Brun_63,1
MRK,Pamela Craig_59,1
MRK,Thomas Glocer_56,1
MRK,Rochelle Lazarus_68,1
MRK,Patricia Russo_64,1
MRK,Wendell Weeks_56,1
MET,Esther Lee_57,1
MET,Maria Morris_53,1
MET,Cheryl Grise_63,1
MET,Carlos Gutierrez_62,1
MET,Robert Hubbard_57,1
MET,Alfred Kelly_58,1
MET,Edward Kelly_63,1
MET,William Kennard_59,1
MET,James Kilts_68,1
MET,Denise Morrison_62,1
MET,Kenton Sicchitano_71,1
MTD,Thomas Salice_56,1
MU,D. Mark Durcan_54,1
MU,Richard Beyer_67,1
MU,Patrick Byrne_67,1
MU,Mercedes Johnson_62,1
MSFT,Bradford Smith_57,1
MSFT,Teri List-Stoll_53,1
MSFT,Charles Noski_63,1
MSFT,Charles Scharf_50,1
MSFT,John Stanton_60,1
TAP,Roger Eaton_54,1
MDLZ,Charles Bunch_66,1
MDLZ,Lois Juliber_67,1
MDLZ,Nelson Peltz_74,1
MDLZ,Fredric Reynolds_65,1
MDLZ,Patrick Siewert_60,1
MON,Hugh Grant_57,1
MON,Brett Begemann_55,1
MON,Mitch Barns_51,1
MON,Jon Moeller_51,1
MON,Patricia Verduin_56,1
MNST,Kathy Waller_57,1
MNST,Gary Fayard_64,1
MCO,Basil Anderson_70,1
MCO,Kathryn Hill_59,1
MS,Erskine Bowles_70,1
MS,Thomas Glocer_56,1
MS,Klaus Kleinfeld_58,1
MS,Donald Nicolaisen_71,1
MS,Hutham Olayan_62,1
MS,James Owens_69,1
MS,Perry Traquina_60,1
MS,Rayford Wilkins_64,1
MOS,Nancy Cooper_62,1
MOS,Gregory Ebel_51,1
MOS,Denise Johnson_49,1
MOS,William Monahan_68,1
MOS,David Seaton_54,1
MSI,Clayton Jones_66,1
MSI,Judy Lewent_67,1
MSI,Anne Pramaggiore_57,1
MSI,Samuel Scott_71,1
NDAQ,Charlene Begley_49,1
NDAQ,Glenn Hutchins_60,1
NOV,Marcela Donadio_61,1
NOV,James Hackett_62,1
NOV,William Thomas_63,1
NAVI,John Adams_60,1
NAVI,Linda Mills_66,1
NAVI,Laura Unger_,1
NAVI,Barry Williams_71,1
NTAP,Kathryn Hill_59,1
NTAP,Stephen Smith_59,1
NTAP,Richard Wallace_55,1
NFLX,Reed Hastings_55,1
NFLX,Jay Hoag_58,1
NFLX,A. George Battle_72,1
NFLX,Ann Mather_56,1
NFLX,Bradford Smith_57,1
NWL,Michael Polk_55,1
NWL,Ralph Nicoletti_58,1
NWL,Domenico De Sole_72,1
NWL,Michael Todman_58,1
NEM,Gregory Boyce_61,1
NEM,Vincent Calarco_73,1
NEM,Joseph Carrabba_63,1
NEM,Veronica Hagen_70,1
NWSA,Keith Murdoch_85,1
NWSA,Lachlan Murdoch_45,1
NWSA,Robert Thomson_54,1
NWSA,Bedi Singh_56,1
NWSA,Joel Klein_69,1
NWSA,David Pitofsky_50,1
NWSA,Peter Barnes_72,1
NWSA,James Murdoch_43,1
NWSA,Jose Aznar_62,1
NWSA,Natalie Bancroft_35,1
NWSA,Elaine Chao_63,1
NWSA,Ana Pessoa_48,1
NWSA,Masroor Siddiqui_43,1
NWSA,Michael Florin_,1
NWS,Keith Murdoch_85,1
NWS,Lachlan Murdoch_45,1
NWS,Robert Thomson_54,1
NWS,Bedi Singh_56,1
NWS,Joel Klein_69,1
NWS,David Pitofsky_50,1
NWS,Peter Barnes_72,1
NWS,James Murdoch_43,1
NWS,Jose Aznar_62,1
NWS,Natalie Bancroft_35,1
NWS,Elaine Chao_63,1
NWS,Ana Pessoa_48,1
NWS,Masroor Siddiqui_43,1
NWS,Michael Florin_,1
NEE,James Robo_53,1
NEE,Sherry Barrat_66,1
NEE,Kirk Hachigian_56,1
NEE,Amy Lane_63,1
NEE,Hansel Tookes_68,1
NLSN,Mitch Barns_51,1
NLSN,David Calhoun_58,1
NLSN,Karen Hoguet_59,1
NLSN,James Kilts_68,1
NLSN,Harish Manwani_63,1
NLSN,Kathryn Marinello_59,1
NLSN,Robert Pozen_70,1
NLSN,Javier Teruel_65,1
NKE,Mark Parker_60,1
NKE,Trevor Edwards_53,1
NKE,Eric Sprunk_52,1
NKE,Timothy Cook_55,1
NKE,Elizabeth Comstock_55,1
NKE,John Donahoe_55,1
NKE,Alan Graf_62,1
NKE,John Lechleiter_62,1
NKE,Johnathan Rodgers_70,1
NI,Wayne DeVeydt_46,1
NI,Deborah Henretta_54,1
NI,Kevin Kabat_59,1
NI,Carolyn Woo_62,1
JWN,Enrique Hernandez_60,1
JWN,Gordon Smith_57,1
JWN,Bradley Tilden_55,1
JWN,Shellye Archambeau_53,1
JWN,Phyllis Campbell_64,1
JWN,Brad Smith_52,1
JWN,Robert Walter_70,1
NSC,Erskine Bowles_70,1
NSC,Robert Bradway_53,1
NSC,Wesley Bush_55,1
NSC,Daniel Carp_67,1
NSC,Martin Nesbitt_53,1
NTRS,Frederick Waddell_62,1
NTRS,John Rowe_70,1
NTRS,Jay Henderson_60,1
NTRS,Linda Bynoe_63,1
NTRS,Susan Crown_57,1
NTRS,Dipak Jain_59,1
NTRS,David Smith_49,1
NTRS,Donald Thompson_53,1
NOC,Wesley Bush_55,1
NOC,Donald Felsinger_68,1
NOC,Marianne Brown_57,1
NOC,Bruce Gordon_70,1
NOC,William Hernandez_68,1
NOC,Karl Krapek_67,1
NOC,Richard Myers_74,1
NOC,Thomas Schoewe_63,1
NOC,James Turley_60,1
NRG,Edward Muller_63,1
NRG,Thomas Weidemeyer_68,1
NUE,Raymond Milchovich_66,1
NUE,Gregory Hayes_55,1
NUE,Victoria Haynes_69,1
NUE,Laurette Koellner_61,1
NVDA,William Miller_70,1
NVDA,Robert Burgess_58,1
NVDA,Dawn Hudson_58,1
OXY,Jennifer Kirk_41,1
OXY,Stephen Chazen_69,1
OXY,Carlos Gutierrez_62,1
OXY,Avedick Poladian_64,1
OMC,Leonard Coleman_67,1
OMC,Alan Batkin_71,1
OMC,Robert Clark_72,1
OKE,Kevin McCarthy_57,1
ORCL,Michael Boskin_70,1
ORCL,George Conrades_77,1
ORCL,Renee James_52,1
ORCL,Naomi Seligman_77,1
OI,Albert Stroucken_68,1
OI,Peter Hellman_66,1
OI,Dennis Williams_70,1
PCAR,Mark Pigott_62,1
PCAR,Charles Williamson_67,1
PCAR,Kirk Hachigian_56,1
PCAR,Roderick McGeary_65,1
PH,Andrew Ross_48,1
PH,Kevin Lobo_50,1
PH,Joseph Scaminace_62,1
PDCO,Scott Anderson_49,1
PDCO,Les Vinney_67,1
PAYX,Joseph Doody_64,1
PAYX,Pamela Joseph_57,1
PYPL,John Donahoe_55,1
PYPL,Daniel Schulman_58,1
PYPL,William Ready_36,1
PYPL,David Moffett_64,1
PYPL,Jonathan Christodoro_40,1
PYPL,David Dorman_62,1
PYPL,Gail McGovern_64,1
PYPL,Pierre Omidyar_48,1
PYPL,Frank Yeary_52,1
PNR,Randall Hogan_59,1
PNR,William Monahan_68,1
PNR,Edward Garden_54,1
PNR,Jerry Burris_52,1
PNR,Carol Davidson_60,1
PNR,T. Michael Glenn_60,1
PNR,David Ho_57,1
PNR,David Jones_58,1
PNR,Ronald Merriman_71,1
PBCT,David Norton_60,1
PEP,Indra Nooyi_60,1
PEP,Albert Carey_64,1
PEP,George Buckley_69,1
PEP,Ian Cook_63,1
PEP,Dina Dublon_63,1
PEP,William Johnson_67,1
PEP,Lloyd Trotter_70,1
PEP,Daniel Vasella_63,1
PKI,Robert Friel_60,1
PKI,Alexis Michas_58,1
PKI,Vicki Sato_67,1
PKI,Kenton Sicchitano_71,1
PRGO,Gary Cohen_56,1
PRGO,Jacqualyn Fouse_55,1
PFE,Ian Read_62,1
PFE,Frank D'Amelio_58,1
PFE,W. Don Cornwell_68,1
PFE,Joseph Echevarria_59,1
PFE,Frances Fergusson_71,1
PFE,James Kilts_68,1
PFE,Shantanu Narayen_52,1
PFE,Suzanne Nora Johnson_58,1
PFE,Stephen Sanger_69,1
PCG,Anthony Earley_67,1
PCG,Eric Mullins_52,1
PCG,Roger Kimmel_69,1
PCG,Barry Williams_71,1
PM,Werner Geissler_62,1
PSX,Gregory Garland_58,1
PSX,Harold McGraw_67,1
PSX,John Lowe_57,1
PSX,William Loomis_68,1
PSX,Glenn Tilton_67,1
PSX,Marna Whittington_69,1
PNW,David Falck_63,1
PNW,Denis Cortese_72,1
PNW,Dale Klein_68,1
PXD,Scott Sheffield_63,1
PXD,James Thompson_64,1
PXD,Phoebe Wood_62,1
PBI,Michael Roth_70,1
PBI,Marc Lautenbach_55,1
PBI,Abby Kohnstamm_62,1
PBI,Roger Fradin_62,1
PBI,Linda Sanford_63,1
PBI,David Shedlarz_67,1
PNC,William Demchak_53,1
PNC,Charles Bunch_66,1
PNC,Daniel Hesse_63,1
PNC,Donald Shepard_69,1
PNC,Michael Ward_65,1
PNC,Gregory Wasson_57,1
RL,Hubert Joly_56,1
PPG,Frank Sklarsky_59,1
PPG,Michael Lamach_52,1
PPG,Stephen Angel_60,1
PPG,John Faraci_66,1
PPG,Hugh Grant_57,1
PPG,Victoria Haynes_69,1
PPG,Melanie Healey_55,1
PPG,Michele Hooper_64,1
PPG,Martin Richenhagen_63,1
PPL,William Spence_59,1
PPL,Rodney Adkins_57,1
PPL,Steven Elliott_69,1
PPL,Keith Williamson_63,1
PX,Stephen Angel_60,1
PX,Nance Dicciani_68,1
PX,Edward Galante_65,1
PX,Martin Richenhagen_63,1
PCLN,Jeffery Boyd_59,1
PCLN,Charles Noski_63,1
PCLN,Craig Rydin_64,1
PFG,Scott Mills_48,1
PFG,Betsy Bernard_60,1
PFG,Jocelyn Carter-Miller_58,1
PFG,Roger Hochschild_50,1
PFG,Elizabeth Tallett_66,1
PG,Jon Moeller_51,1
PG,Carolyn Tastad_54,1
PG,Linda Clement-Holmes_53,1
PG,Deborah Majoras_52,1
PG,Walter McNerney_66,1
PG,Francis Blake_67,1
PG,Angela Braly_54,1
PG,Kenneth Chenault_64,1
PG,Scott Cook_63,1
PG,Susan Desmond-Hellmann_58,1
PG,Terry Lundgren_64,1
PG,Margaret Whitman_59,1
PG,Patricia Woertz_63,1
PG,Ernesto Zedillo Ponce de Leon_64,1
PGR,Glenn Renwick_60,1
PGR,Stuart Burgdoerfer_53,1
PGR,Charles Davis_67,1
PGR,Roger Farah_63,1
PGR,Bradley Sheares_59,1
PGR,Barbara Snyder_60,1
PLD,Irving Lyons_66,1
PLD,Christine Garvey_70,1
PLD,Lydia Kennard_61,1
PLD,J. Michael Losh_69,1
PLD,William Zollars_68,1
PRU,Karl Krapek_67,1
PRU,James Cullen_73,1
PRU,Martina Hund-Mejean_56,1
PRU,George Paz_60,1
PRU,Sandra Pianalto_61,1
PRU,Michael Todman_58,1
PEG,Willie Deese_60,1
PEG,Shirley Jackson_69,1
PEG,David Lilley_69,1
PEG,Thomas Renyi_70,1
PEG,Hak Shin_58,1
PEG,Richard Swift_71,1
PEG,Susan Tomasky_63,1
PSA,Ronald Havner_58,1
PSA,Avedick Poladian_64,1
PHM,Brian Anderson_65,1
PHM,Richard Dreiling_62,1
PHM,Thomas Folliard_51,1
PHM,Cheryl Grise_63,1
PVH,Mary Baglivo_58,1
PVH,Craig Rydin_64,1
QRVO,David Ho_57,1
QCOM,Steven Mollenkopf_47,1
QCOM,Ann Livermore_57,1
QCOM,Thomas Horton_54,1
QCOM,Harish Manwani_63,1
QCOM,Clark Randt_70,1
DGX,Stephen Rusckowski_58,1
DGX,Jenne Britell_73,1
DGX,Jeffrey Leiden_60,1
DGX,Timothy Ring_58,1
DGX,Gail Wilensky_72,1
RRC,Kevin McCarthy_57,1
RTN,George Oliver_56,1
RTN,Dinesh Paliwal_58,1
RTN,Ronald Skates_74,1
O,Michael McKee_70,1
O,Ronald Merriman_71,1
O,Stephen Sterrett_60,1
RHT,Henry Shelton_74,1
RHT,James Whitehurst_48,1
RHT,Frank Calderoni_58,1
RHT,Charlene Begley_49,1
REGN,Christine Poon_63,1
REGN,Arthur Ryan_73,1
RF,O.B. Hall_58,1
RF,Samuel Di Piazza_65,1
RF,Eric Fast_66,1
RF,John Johns_64,1
RF,Ruth Marshall_61,1
RF,James Prokopanko_62,1
RF,Lee Styslinger_55,1
RSG,Donald Slager_54,1
RSG,Tomago Collins_44,1
RSG,Ann Dunwoody_63,1
RSG,Thomas Handley_61,1
RSG,Jennifer Kirk_41,1
RSG,Michael Larson_56,1
RAI,Debra Crew_45,1
RAI,Holly Koeppel_57,1
RAI,Lionel Nowell_61,1
RAI,John Zillmer_60,1
ROK,Thomas Rosamilia_55,1
ROK,James Holloman_60,1
ROK,Donald Parfet_64,1
ROK,Lisa Payne_57,1
COL,Patrick Allen_51,1
COL,Ralph Eberhart_69,1
COL,John Edwardson_66,1
COL,David Lilley_69,1
ROST,Stephen Milligan_52,1
RCL,William Kimsey_73,1
RCL,Donald Thompson_53,1
RCL,Maritza Montiel_64,1
R,Robert Sanchez_50,1
R,Robert Hagemann_59,1
R,Luis Nieto_60,1
R,Hansel Tookes_68,1
CRM,Alan Hassenfeld_67,1
CRM,Robin Washington_53,1
CRM,Maynard Webb_60,1
SLB,Indra Nooyi_60,1
SLB,Leo Reif_65,1
SNI,Richelle Parham_48,1
SNI,Ronald Tysoe_63,1
STX,Michael Cannon_62,1
STX,Dambisa Moyo_47,1
STX,Frank Biondi_71,1
STX,Stephanie Tilenius_48,1
SEE,Jerome Peribere_61,1
SRE,Debra Reed_59,1
SRE,William Rusnack_71,1
SRE,Alan Boeckmann_67,1
SRE,Lynn Schenk_71,1
SHW,Christopher Connor_59,1
SHW,John Morikis_52,1
SHW,Sean Hennessy_58,1
SHW,Thomas Kadien_59,1
SHW,Richard Kramer_52,1
SHW,Susan Kropf_67,1
SHW,Christine Poon_63,1
SIG,Marianne Parrs_72,1
SIG,Jonathan Sokoloff_59,1
SPG,Larry Glasscock_68,1
SPG,Karen Horn_72,1
SLG,John Alschuler_68,1
SNA,Henry Knueppel_67,1
SO,Thomas Fanning_59,1
SO,Kimberly Greene_49,1
SO,W. Paul Bowers_59,1
SO,Veronica Hagen_70,1
SO,Linda Hudson_65,1
SO,Donald James_67,1
SO,John Johns_64,1
SO,Dale Klein_68,1
SO,E. Jenner Wood_64,1
LUV,Grace Lieblein_55,1
LUV,Douglas Brooks_63,1
LUV,William Cunningham_72,1
SE,Gregory Ebel_51,1
SE,Dorothy Ables_58,1
SE,Austin Adams_72,1
